car_id,model,car_type,fuel_type,car_rating,year_to_start,riders,year_to_work,target_reg,target_class
s19895093b,Renault Sandero,standart,petrol,5.0,2013,36768,2018,33.86,engine_fuel
x58256990o,VW Tiguan,economy,petrol,4.22,2013,46797,2021,66.37,engine_check
l-1554787I,Renault Sandero,standart,petrol,4.48,2011,3678,2018,134.49,another_bug
b-2065373n,Kia Rio,economy,petrol,5.04,2014,60298,2019,46.3,engine_check
U20118110o,Renault Kaptur,standart,petrol,3.14,2013,47215,2017,36.83,electro_bug
f17295371z,Smart ForFour,economy,petrol,2.76,2016,98338,2020,24.63,wheel_shake
H-3434345i,Kia Sportage,standart,petrol,4.88,2015,78186,2017,28.83,gear_stick
c-1038656M,VW Polo,economy,petrol,4.46,2013,45030,2015,35.15,electro_bug
b-3993593n,Hyundai Solaris,economy,petrol,3.62,2013,44987,2022,40.74,engine_fuel
A-4064758I,VW Polo VI,economy,petrol,4.76,2014,69687,2015,23.88,wheel_shake
p-1862043f,Kia Rio X-line,economy,petrol,5.76,2013,52713,2017,55.43,engine_ignition
n-3147237F,Smart ForTwo,economy,petrol,4.26,2014,64753,2019,68.88,another_bug
L18676057l,VW Polo,economy,petrol,3.7,2015,85137,2018,57.42,engine_check
v77404713z,Nissan Qashqai,standart,petrol,3.28,2015,88356,2019,42.45,electro_bug
h-2382400T,Kia Rio,economy,petrol,5.22,2015,81850,2017,46.03,engine_overheat
j-3753181u,Kia Rio X,economy,petrol,4.62,2015,77798,2018,29.98,engine_overheat
m-1806910Q,Smart ForFour,economy,petrol,5.06,2017,118244,2020,26.73,wheel_shake
N-1293747R,Nissan Qashqai,standart,petrol,6.06,2015,88345,2018,51.33,engine_ignition
H-1213278K,Skoda Rapid,economy,petrol,6.4,2016,90556,2016,63.2,another_bug
k-1284276t,Smart ForTwo,economy,petrol,4.48,2015,91189,2015,37.46,electro_bug
w-4839718z,Kia Sportage,standart,petrol,5.02,2012,21317,2016,40.2,engine_fuel
L11781730e,VW Polo,economy,petrol,4.18,2012,22042,2017,58.96,engine_ignition
X25302782p,BMW 320i,business,petrol,4.12,2015,74560,2019,62.87,engine_ignition
l-4285389z,Smart ForTwo,economy,petrol,4.28,2016,97182,2020,31.07,engine_fuel
A-2110919g,VW Polo VI,economy,petrol,5.66,2012,21887,2019,54.27,another_bug
B28690472s,VW Polo,economy,petrol,3.48,2015,81638,2022,57.17,engine_check
b-2278301E,Renault Kaptur,standart,petrol,5.32,2012,24009,2019,51.5,engine_check
n-9660895o,Hyundai Solaris,economy,petrol,4.72,2015,83903,2018,51.67,engine_check
I92805218s,Kia Sportage,standart,petrol,4.66,2015,78572,2020,99.69,another_bug
F14265516N,Kia Rio X-line,economy,petrol,3.34,2011,2287,2020,52.06,engine_check
J38284226P,Volkswagen ID.4 ,premium,electro,4.42,2017,119926,2018,59.2,engine_fuel
f11975477T,Kia Rio X-line,economy,petrol,3.58,2011,3653,2017,59.99,engine_ignition
p71128508c,Kia Rio X-line,economy,petrol,5.08,2014,60071,2016,38.31,engine_fuel
T19870933B,Renault Sandero,standart,petrol,3.86,2014,67318,2021,74.02,another_bug
L-2146603e,Smart ForTwo,economy,petrol,4.76,2014,60852,2022,55.94,engine_overheat
G13349292r,Kia Rio X-line,economy,petrol,4.58,2011,4370,2020,26.25,engine_overheat
c-4737890p,Renault Kaptur,standart,petrol,5.3,2014,62595,2017,36.83,gear_stick
S15627573c,Kia Sportage,standart,petrol,4.16,2013,41205,2015,66.23,another_bug
X83844922n,VW Polo,economy,petrol,4.44,2013,37310,2020,65.08,another_bug
y19652944A,Smart ForFour,economy,petrol,1.92,2015,80035,2015,53.52,engine_ignition
N-4842662w,Kia Rio X-line,economy,petrol,4.92,2014,62517,2015,26.21,wheel_shake
W-1949796N,Nissan Qashqai,standart,petrol,4.12,2013,43877,2016,30.8,engine_overheat
u71964968t,Audi A3,premium,petrol,4.3,2017,110826,2019,83.29,another_bug
D46039134C,VW Polo VI,economy,petrol,3.78,2013,41639,2019,40.07,engine_fuel
F11676889s,Kia Rio,economy,petrol,3.6,2013,37417,2019,64.83,engine_ignition
R-6844153a,Skoda Rapid,economy,petrol,3.72,2014,60084,2022,28.41,break_bug
n95681185i,Kia Rio X,economy,petrol,4.34,2011,2244,2018,32.27,electro_bug
y53052788O,Renault Kaptur,standart,petrol,4.76,2014,61702,2015,53.55,another_bug
e17156131L,Smart ForFour,economy,petrol,2.84,2017,115934,2016,39.2,gear_stick
I20900258y,Smart ForTwo,economy,petrol,3.8,2014,61049,2019,28.16,engine_overheat
o87681914x,Nissan Qashqai,standart,petrol,4.7,2015,88268,2018,63.73,another_bug
Q-5554551x,Renault Kaptur,standart,petrol,5.1,2015,87129,2019,54.34,engine_ignition
l-1607581F,Smart ForTwo,economy,petrol,3.8,2014,56704,2014,42.58,engine_fuel
a-9339461G,Nissan Qashqai,standart,petrol,5.0,2013,47895,2020,28.47,break_bug
n28625799A,Kia Sportage,standart,petrol,3.48,2015,83053,2018,36.77,engine_overheat
N21890923Q,VW Polo,economy,petrol,4.64,2015,81467,2016,66.69,another_bug
g-1957069S,VW Polo,economy,petrol,6.04,2014,64332,2019,53.99,engine_check
e-5741942D,Kia Rio,economy,petrol,5.32,2014,60223,2016,53.53,engine_ignition
y12023699E,Renault Sandero,standart,petrol,5.28,2013,46366,2021,27.74,gear_stick
Y-8852975t,Nissan Qashqai,standart,petrol,4.3,2015,72969,2017,58.94,engine_ignition
L-2247718T,Kia Rio X-line,economy,petrol,5.6,2013,38818,2015,31.3,break_bug
N19589603r,Skoda Rapid,economy,petrol,5.16,2015,93909,2017,34.97,break_bug
d37118079d,Skoda Rapid,economy,petrol,3.78,2014,64189,2019,34.11,wheel_shake
s47589001I,VW Tiguan,economy,petrol,3.26,2017,127367,2018,29.13,electro_bug
y-1806571O,Smart ForTwo,economy,petrol,5.24,2015,86243,2016,37.61,engine_fuel
L16050992t,Kia Rio X-line,economy,petrol,4.02,2015,86652,2021,53.78,engine_ignition
m-4274263Z,Kia Sportage,standart,petrol,3.96,2013,46605,2018,38.49,engine_check
s33927254Y,VW Polo,economy,petrol,1.88,2015,81699,2019,27.47,break_bug
g19494953p,Audi A3,premium,petrol,4.3,2013,43597,2020,31.34,engine_fuel
Y-4198316J,VW Tiguan,economy,petrol,4.86,2014,59714,2020,71.85,engine_ignition
a-7282370E,Renault Kaptur,standart,petrol,4.62,2012,21622,2018,25.72,engine_overheat
z16068145k,Mercedes-Benz GLC,business,petrol,2.82,2015,87593,2019,31.86,electro_bug
d-4629986a,Kia Rio,economy,petrol,4.8,2015,85769,2021,52.53,engine_ignition
Q35379022F,Hyundai Solaris,economy,petrol,3.7,2012,21365,2016,35.87,electro_bug
r10613305A,Kia Rio X,economy,petrol,3.76,2014,55649,2018,31.73,gear_stick
N23006473B,Hyundai Solaris,economy,petrol,4.54,2014,61802,2015,35.07,gear_stick
m-2019578o,VW Tiguan,economy,petrol,6.94,2013,45127,2019,67.77,another_bug
W86413939q,Smart ForFour,economy,petrol,3.86,2017,117893,2018,38.95,wheel_shake
o-1093440v,MINI CooperSE,business,electro,5.14,2011,447,2018,52.38,engine_overheat
S-1468454C,Kia Rio,economy,petrol,4.78,2012,21367,2018,31.16,break_bug
b-1081111P,Hyundai Solaris,economy,petrol,5.28,2011,3457,2017,34.89,engine_overheat
H10062346p,Mercedes-Benz GLC,business,petrol,3.4,2013,42671,2020,61.65,engine_overheat
N-5708757B,Kia Rio X-line,economy,petrol,4.82,2013,44278,2018,36.82,engine_overheat
b-7098808D,Hyundai Solaris,economy,petrol,5.08,2014,63452,2022,31.34,wheel_shake
M-4627743Y,Renault Kaptur,standart,petrol,4.74,2014,69685,2018,32.12,break_bug
s-1392305F,Kia Rio X,economy,petrol,6.22,2015,96364,2016,40.33,gear_stick
z67141488o,Hyundai Solaris,economy,petrol,3.96,2015,78511,2017,23.51,wheel_shake
z-8891400p,Kia Rio,economy,petrol,4.18,2015,90732,2014,24.25,engine_overheat
z-5687636M,Renault Kaptur,standart,petrol,3.56,2011,1388,2018,40.17,electro_bug
K-1514397X,Kia Rio X,economy,petrol,4.8,2015,87302,2014,31.86,electro_bug
U57863590w,Renault Sandero,standart,petrol,3.52,2015,85666,2016,44.57,gear_stick
M49274481G,Renault Kaptur,standart,petrol,4.6,2014,67118,2020,59.18,engine_fuel
a11122197a,Renault Sandero,standart,petrol,3.84,2013,44790,2020,72.78,another_bug
b15256546L,Nissan Qashqai,standart,petrol,4.0,2012,21738,2019,34.58,electro_bug
B11239506t,Audi Q3,premium,petrol,3.88,2017,110040,2018,36.55,electro_bug
l-1337696j,Kia Sportage,standart,petrol,4.74,2011,4267,2018,58.97,another_bug
q-6650729Y,Kia Rio X,economy,petrol,5.32,2014,58219,2019,43.32,another_bug
B17720677C,Skoda Rapid,economy,petrol,3.48,2017,133755,2022,31.18,break_bug
s21770212W,VW Polo VI,economy,petrol,4.16,2012,20492,2017,66.74,another_bug
x30389932l,Kia Rio,economy,petrol,3.62,2015,87297,2014,31.68,engine_fuel
B15081492o,Kia Rio,economy,petrol,3.12,2015,96993,2016,36.15,wheel_shake
O51808760A,VW Tiguan,economy,petrol,3.94,2017,112886,2020,35.83,gear_stick
l62738348Q,Skoda Rapid,economy,petrol,3.82,2017,130393,2018,56.57,engine_ignition
v-6614004H,Audi A3,premium,petrol,5.02,2016,94482,2017,40.59,electro_bug
c21762167i,Smart ForFour,economy,petrol,3.48,2013,36104,2017,52.73,engine_check
B16746018u,Renault Kaptur,standart,petrol,3.12,2015,78630,2022,68.62,another_bug
T-2093464U,Smart ForTwo,economy,petrol,5.56,2013,42927,2014,33.36,engine_fuel
t11315883F,Skoda Rapid,economy,petrol,3.72,2017,117809,2014,41.67,engine_check
I-2073229s,Tesla Model 3,premium,electro,5.1,2017,120231,2017,59.54,engine_fuel
r-7396117p,Smart Coupe,economy,petrol,5.6,2017,121467,2016,84.2,another_bug
t-1412384s,Hyundai Solaris,economy,petrol,5.4,2015,88544,2018,29.21,engine_fuel
E-2041030F,Renault Kaptur,standart,petrol,5.34,2012,27035,2021,29.94,engine_overheat
q-1744366u,Kia Rio,economy,petrol,5.62,2011,2814,2016,45.57,engine_ignition
E17823137X,Skoda Rapid,economy,petrol,2.52,2017,119034,2016,54.34,engine_check
n34490222d,Smart ForFour,economy,petrol,3.48,2017,128022,2015,42.47,break_bug
k20675157L,Skoda Rapid,economy,petrol,3.84,2014,57543,2021,57.63,engine_ignition
x-1548714k,VW Polo VI,economy,petrol,5.54,2015,77723,2020,62.39,engine_check
A14861843I,Smart ForTwo,economy,petrol,4.28,2013,38888,2016,42.98,electro_bug
H-1457815L,Renault Kaptur,standart,petrol,3.92,2015,73627,2017,41.34,electro_bug
R-1948335X,VW Tiguan,economy,petrol,4.56,2017,132381,2018,59.42,engine_ignition
C20191765o,Kia Rio X,economy,petrol,3.62,2015,93392,2017,61.33,engine_ignition
R16773550u,Renault Sandero,standart,petrol,4.4,2015,89492,2021,35.58,engine_fuel
f18945419X,Kia Rio X,economy,petrol,4.22,2013,40718,2018,48.64,engine_check
z-3485115T,Skoda Rapid,economy,petrol,4.16,2016,110318,2019,30.54,break_bug
C-4073157k,Smart ForTwo,economy,petrol,5.22,2017,112123,2021,26.09,engine_overheat
u21310295q,Kia Sportage,standart,petrol,3.38,2015,87026,2020,44.31,engine_check
N-9781014K,VW Polo VI,economy,petrol,5.4,2012,25538,2020,63.65,another_bug
t22511448x,Smart ForTwo,economy,petrol,3.62,2014,67354,2021,33.07,gear_stick
T-4883335x,Kia Rio X-line,economy,petrol,5.04,2015,87312,2022,31.27,wheel_shake
q12245711E,Nissan Qashqai,standart,petrol,3.36,2012,24989,2021,51.5,engine_check
B-6461335O,Hyundai Solaris,economy,petrol,5.14,2012,22330,2016,28.28,engine_fuel
q15170801B,Kia Sportage,standart,petrol,3.98,2014,56916,2022,45.19,gear_stick
W18060288Q,Kia Rio,economy,petrol,1.94,2013,40195,2018,39.43,gear_stick
b21711455K,Nissan Qashqai,standart,petrol,4.1,2015,77579,2019,27.41,gear_stick
j20079629P,Smart Coupe,economy,petrol,3.12,2016,101075,2017,27.13,gear_stick
C11747534v,VW Polo VI,economy,petrol,3.82,2015,81630,2020,48.46,engine_ignition
M58894937r,Renault Kaptur,standart,petrol,3.22,2011,3304,2014,33.02,engine_fuel
A11922887f,Smart Coupe,economy,petrol,3.94,2015,73470,2020,32.19,electro_bug
n12377024x,Smart ForFour,economy,petrol,4.02,2017,129629,2020,43.95,electro_bug
L-1227525r,VW Tiguan,economy,petrol,3.94,2017,119174,2020,82.57,engine_ignition
i-1095441d,Renault Sandero,standart,petrol,5.24,2014,65030,2016,41.61,engine_fuel
c12597990Y,Smart ForTwo,economy,petrol,3.52,2014,58435,2016,45.78,engine_check
Q86719011p,Smart Coupe,economy,petrol,3.24,2017,129754,2018,39.88,wheel_shake
S-7961176I,VW Polo,economy,petrol,4.98,2012,20532,2018,26.15,engine_overheat
i-2288384f,Mini Cooper,business,petrol,4.98,2011,3455,2016,129.96,another_bug
U16614632F,Kia Rio,economy,petrol,3.7,2014,61991,2014,35.77,engine_overheat
U-7130411Q,MINI CooperSE,business,electro,5.14,2015,81530,2020,47.03,break_bug
q22813846g,Kia Rio,economy,petrol,3.82,2014,64232,2015,24.64,wheel_shake
i-7530121C,Smart ForFour,economy,petrol,5.48,2016,104945,2016,36.23,electro_bug
g-1991724F,Smart ForTwo,economy,petrol,4.18,2016,94240,2016,32.95,break_bug
P12661886a,Kia Rio,economy,petrol,2.6,2015,84686,2019,26.74,electro_bug
j-2223695S,Mini Cooper,business,petrol,4.76,2015,79315,2019,35.26,engine_fuel
B-2081255O,Smart Coupe,economy,petrol,3.96,2017,138101,2017,44.6,gear_stick
H97221372X,VW Tiguan,economy,petrol,2.54,2016,96375,2018,56.87,another_bug
O-2020503H,VW Polo VI,economy,petrol,2.96,2014,58172,2019,34.22,electro_bug
G15670643N,Nissan Qashqai,standart,petrol,3.02,2015,81340,2018,38.43,engine_overheat
M-1335244r,Smart ForTwo,economy,petrol,5.02,2014,55556,2019,32.41,gear_stick
c53045565g,Volkswagen ID.4 ,premium,electro,4.8,2013,36907,2018,94.88,engine_ignition
Q19862548Q,Renault Sandero,standart,petrol,3.64,2014,67119,2017,28.97,break_bug
x24297410X,Hyundai Solaris,economy,petrol,4.54,2014,68959,2018,34.35,engine_fuel
n-2248103n,Renault Sandero,standart,petrol,5.96,2015,83621,2015,38.02,engine_overheat
J-1564265f,Skoda Rapid,economy,petrol,5.46,2014,66667,2019,68.75,another_bug
z-8396890u,Renault Kaptur,standart,petrol,4.6,2011,1112,2021,33.12,gear_stick
S-1235434W,Kia Rio X-line,economy,petrol,5.24,2011,3810,2015,94.15,another_bug
W-7286692g,Renault Kaptur,standart,petrol,5.68,2014,53318,2019,48.13,engine_overheat
l-1076081s,Skoda Rapid,economy,petrol,6.12,2015,84412,2018,26.17,electro_bug
s13888728i,Smart ForFour,economy,petrol,3.54,2015,85471,2016,44.41,wheel_shake
f-1599161k,Smart ForFour,economy,petrol,5.4,2017,117841,2016,28.58,engine_fuel
k13011549U,Renault Sandero,standart,petrol,4.5,2013,45290,2014,33.39,break_bug
v13208941X,Kia Rio,economy,petrol,3.74,2015,78854,2020,52.51,engine_check
b-1380770L,Smart ForTwo,economy,petrol,4.96,2013,47356,2020,30.57,engine_fuel
X22359217a,Kia Rio X,economy,petrol,3.12,2011,7399,2019,37.11,gear_stick
C50359433E,VW Polo VI,economy,petrol,3.6,2013,37727,2018,26.96,gear_stick
v22254568R,Smart ForFour,economy,petrol,3.1,2015,91880,2019,69.65,another_bug
l13884760f,Kia Rio X,economy,petrol,2.98,2015,95645,2016,39.57,wheel_shake
W17936165j,Skoda Rapid,economy,petrol,3.74,2016,109428,2020,28.32,gear_stick
S-3511294t,Kia Rio X,economy,petrol,4.06,2015,87280,2015,29.96,gear_stick
j58227834T,Smart ForTwo,economy,petrol,4.7,2014,69886,2014,41.58,gear_stick
z40790936m,VW Polo,economy,petrol,2.88,2014,55052,2019,22.34,gear_stick
k14397227n,Hyundai Solaris,economy,petrol,1.6,2012,28604,2020,30.24,wheel_shake
X62303511v,Kia Rio X,economy,petrol,3.66,2012,23516,2018,36.49,engine_fuel
B-1561363P,Renault Sandero,standart,petrol,4.32,2015,88850,2019,29.31,gear_stick
i47017449U,Kia Rio X-line,economy,petrol,4.0,2012,29052,2019,30.65,engine_fuel
Z17281512s,Hyundai Solaris,economy,petrol,3.62,2015,74334,2019,59.01,engine_ignition
O-1267999T,Smart ForTwo,economy,petrol,5.2,2013,40616,2019,37.55,gear_stick
p87595615V,Hyundai Solaris,economy,petrol,2.86,2014,58637,2016,46.62,engine_check
d21839434m,Kia Rio,economy,petrol,5.0,2015,78693,2021,29.98,electro_bug
t11042597E,Kia Sportage,standart,petrol,4.16,2014,53883,2018,28.53,engine_overheat
n16260385q,VW Polo,economy,petrol,2.9,2015,76386,2018,55.09,engine_ignition
R-1126472L,Smart ForFour,economy,petrol,4.28,2014,61422,2019,37.18,engine_overheat
W-9477259M,Kia Sportage,standart,petrol,4.18,2011,942,2020,78.61,another_bug
F-6369826L,Nissan Qashqai,standart,petrol,4.38,2011,3942,2017,50.92,engine_check
y10620904U,Kia Sportage,standart,petrol,3.24,2013,40935,2014,31.65,electro_bug
Z76775340d,VW Tiguan,economy,petrol,4.92,2017,120326,2020,25.03,wheel_shake
d-1139767Q,VW Polo VI,economy,petrol,6.2,2014,65164,2022,56.59,engine_check
C-1370961Z,Audi Q3,premium,petrol,5.04,2016,97349,2020,38.95,electro_bug
A-6054905F,Smart ForFour,economy,petrol,6.22,2017,118864,2015,74.7,another_bug
C-6638042h,Smart ForTwo,economy,petrol,4.92,2016,99711,2022,31.64,break_bug
o88568317p,VW Polo,economy,petrol,2.48,2012,25357,2019,32.21,electro_bug
Q15313356b,VW Tiguan,economy,petrol,3.12,2013,36996,2019,30.83,break_bug
W10497593m,Kia Rio,economy,petrol,2.8,2015,93134,2019,38.66,engine_overheat
o-1891967P,Kia Sportage,standart,petrol,4.68,2014,68376,2017,43.69,engine_overheat
p22237238Z,Renault Kaptur,standart,petrol,3.02,2015,87521,2020,39.69,electro_bug
a41280148k,Renault Kaptur,standart,petrol,2.32,2014,69743,2016,56.63,engine_check
R49036294u,Smart Coupe,economy,petrol,2.68,2014,59036,2015,33.46,engine_fuel
z-4833684R,VW Polo,economy,petrol,5.32,2013,39171,2017,26.69,break_bug
K20525629B,VW Tiguan,economy,petrol,2.36,2015,76737,2019,36.95,engine_overheat
v95100302y,VW Polo VI,economy,petrol,3.8,2015,85969,2015,41.2,engine_overheat
S-8715402c,Mini Cooper,business,petrol,5.66,2014,64461,2016,65.84,engine_ignition
H15588497J,Skoda Rapid,economy,petrol,4.26,2017,123971,2016,36.56,break_bug
L94218328d,Kia Rio,economy,petrol,3.44,2014,58317,2022,62.71,another_bug
j55128828K,Renault Sandero,standart,petrol,2.92,2013,43304,2015,88.99,another_bug
I-9335565Q,Smart ForFour,economy,petrol,5.08,2014,64904,2016,31.18,gear_stick
M19182860m,Kia Sportage,standart,petrol,3.12,2011,3784,2019,30.6,break_bug
m-2205063P,Smart ForFour,economy,petrol,5.1,2013,46222,2016,74.88,another_bug
e12051793m,VW Polo VI,economy,petrol,4.02,2015,87263,2015,34.07,electro_bug
Z60523911N,Renault Kaptur,standart,petrol,3.56,2012,21425,2019,35.2,gear_stick
I-1072340c,Skoda Rapid,economy,petrol,5.92,2013,50980,2018,83.37,another_bug
K-2460692D,Renault Kaptur,standart,petrol,5.26,2012,25355,2015,54.99,another_bug
q-9818488o,Smart Coupe,economy,petrol,5.08,2013,36243,2018,26.36,break_bug
M-1351643L,Nissan Qashqai,standart,petrol,4.2,2013,40072,2019,86.21,another_bug
a15168936c,Renault Kaptur,standart,petrol,3.6,2015,82153,2018,26.49,electro_bug
P-8016178d,Renault Kaptur,standart,petrol,4.72,2015,73596,2022,43.43,gear_stick
I-5434170l,VW Polo,economy,petrol,4.9,2015,77670,2016,34.51,wheel_shake
L10152680W,Smart ForFour,economy,petrol,3.24,2015,90837,2016,55.63,another_bug
J-1648795r,VW Polo,economy,petrol,6.46,2011,3032,2016,30.9,break_bug
p-7109749V,Mercedes-Benz E200,business,petrol,4.46,2011,3417,2021,35.54,electro_bug
g-1247997Z,Renault Sandero,standart,petrol,5.52,2015,81452,2014,85.04,another_bug
I-5970052e,Kia Rio X-line,economy,petrol,5.44,2015,88167,2017,54.87,engine_ignition
v-1935966T,Hyundai Solaris,economy,petrol,4.7,2012,22882,2017,43.95,engine_overheat
M95466176u,Smart ForFour,economy,petrol,3.88,2017,114896,2018,40.29,engine_fuel
x94067365b,Kia Sportage,standart,petrol,4.22,2011,1933,2019,31.99,engine_fuel
f-1498735Z,Kia Rio X,economy,petrol,5.08,2015,79896,2017,30.61,wheel_shake
N-1305225x,VW Polo VI,economy,petrol,5.36,2013,44425,2017,25.03,wheel_shake
y-2171969q,Renault Sandero,standart,petrol,4.08,2013,43899,2017,35.43,electro_bug
c17052193e,Nissan Qashqai,standart,petrol,3.28,2014,67583,2016,53.62,engine_check
b-1872358o,Smart ForFour,economy,petrol,5.58,2015,88015,2015,24.89,gear_stick
o90119190V,Hyundai Solaris,economy,petrol,3.58,2015,73378,2019,49.39,engine_ignition
u-5484227S,VW Polo VI,economy,petrol,4.9,2012,17883,2022,37.66,wheel_shake
u82752427P,Kia Rio X-line,economy,petrol,4.92,2012,22779,2017,23.66,engine_overheat
o16230080f,VW Polo,economy,petrol,3.46,2013,45026,2016,39.52,wheel_shake
m-2245548R,Kia Sportage,standart,petrol,4.3,2015,97217,2017,41.1,engine_fuel
w10201905w,Smart Coupe,economy,petrol,3.74,2015,72534,2015,32.44,electro_bug
T-2189506b,Kia Sportage,standart,petrol,5.94,2012,20340,2021,42.14,engine_check
Z-1361289G,Mini Cooper,business,petrol,4.34,2012,28587,2017,34.38,engine_overheat
Y22302267X,Kia Rio,economy,petrol,3.48,2014,60384,2020,82.15,another_bug
l-1026528H,Smart Coupe,economy,petrol,4.9,2016,107225,2015,29.78,break_bug
H-2757468E,VW Polo VI,economy,petrol,4.4,2011,1069,2022,55.37,engine_ignition
N-2240902Z,Smart ForFour,economy,petrol,4.56,2015,90457,2015,34.76,engine_fuel
x13730258P,VW Tiguan,economy,petrol,2.38,2014,64678,2021,37.24,engine_overheat
h12427301o,Nissan Qashqai,standart,petrol,2.98,2012,26096,2020,37.83,gear_stick
I-2834874F,Smart ForFour,economy,petrol,4.7,2014,67461,2019,24.35,break_bug
N89944460U,Kia Rio X,economy,petrol,3.22,2015,85749,2018,53.07,engine_ignition
j-1712772o,Nissan Qashqai,standart,petrol,3.18,2012,23184,2020,48.31,engine_check
c19881313A,Kia Rio,economy,petrol,3.76,2015,79829,2016,29.43,break_bug
Q-6918324o,Kia Rio X-line,economy,petrol,6.48,2013,41855,2021,27.31,wheel_shake
D-1543108f,Fiat 500,business,petrol,3.96,2015,81727,2016,39.23,electro_bug
T-7607561S,Smart Coupe,economy,petrol,5.14,2016,107477,2017,44.87,engine_check
K-1703648s,Kia Rio,economy,petrol,5.32,2013,37237,2020,89.66,another_bug
t97882515C,Mini Cooper,business,petrol,2.54,2012,18383,2022,60.22,engine_check
B-1223366j,Smart Coupe,economy,petrol,4.88,2013,45460,2022,102.5,another_bug
e78136849E,VW Tiguan,economy,petrol,2.8,2013,41827,2022,79.52,another_bug
r-3130013n,Kia Sportage,standart,petrol,4.98,2013,37673,2015,29.92,electro_bug
S-3888121i,Kia Rio X,economy,petrol,4.32,2013,41669,2017,33.4,break_bug
v13412057i,Kia Sportage,standart,petrol,3.96,2014,61815,2019,32.63,electro_bug
w15600381D,Kia Rio X,economy,petrol,4.62,2012,19661,2015,93.82,another_bug
i98744677i,Renault Sandero,standart,petrol,3.62,2012,21616,2017,47.63,engine_ignition
a35746775Z,Kia Rio,economy,petrol,3.26,2015,88552,2019,44.13,engine_check
I30300326i,Smart Coupe,economy,petrol,3.22,2017,108130,2018,44.9,engine_check
L-3013668o,Nissan Qashqai,standart,petrol,4.8,2014,65444,2020,37.8,electro_bug
D22902572P,Kia Rio X,economy,petrol,3.94,2013,53235,2017,41.51,engine_check
h-1083202b,Kia Rio X-line,economy,petrol,4.74,2014,54311,2020,71.19,another_bug
m-1912665m,Kia Rio X-line,economy,petrol,4.58,2011,625,2018,42.8,engine_fuel
t54756416j,Kia Rio X-line,economy,petrol,4.34,2015,87982,2021,69.42,another_bug
T20363976m,Smart ForFour,economy,petrol,4.8,2013,50912,2019,51.79,engine_check
p81056764h,Fiat 500,business,petrol,4.16,2015,87466,2018,29.43,gear_stick
I15203455u,Smart ForTwo,economy,petrol,4.66,2017,136056,2021,26.5,gear_stick
U18148584e,Nissan Qashqai,standart,petrol,3.88,2015,84417,2017,38.77,engine_overheat
i-1445700R,Hyundai Solaris,economy,petrol,4.02,2015,71710,2020,75.87,another_bug
n-2162898E,Smart ForTwo,economy,petrol,4.96,2016,91828,2020,36.42,break_bug
v-2280326L,VW Polo,economy,petrol,5.7,2015,98522,2016,54.27,another_bug
B54175025n,Skoda Rapid,economy,petrol,4.54,2015,91432,2022,41.23,gear_stick
a-1388740X,Hyundai Solaris,economy,petrol,6.06,2015,76421,2015,27.27,gear_stick
Q72167569Z,VW Tiguan,economy,petrol,3.98,2017,108418,2020,41.2,wheel_shake
e10663028u,Kia Rio X-line,economy,petrol,3.06,2015,89872,2017,70.8,another_bug
G-8756627H,Kia Rio,economy,petrol,6.0,2013,41053,2017,29.26,engine_fuel
I14406288e,Renault Kaptur,standart,petrol,4.4,2015,81210,2015,28.56,engine_fuel
r-9097768K,Renault Sandero,standart,petrol,6.22,2015,88158,2017,63.35,another_bug
Y-3787995U,VW Tiguan,economy,petrol,3.66,2014,57897,2019,20.48,break_bug
o-2324110V,VW Polo VI,economy,petrol,5.28,2015,74076,2016,61.91,engine_overheat
F18164143O,Smart Coupe,economy,petrol,3.76,2015,71170,2017,28.37,electro_bug
a-2243028s,VW Tiguan,economy,petrol,4.8,2017,129853,2018,72.57,engine_overheat
S-1740592Q,VW Tiguan,economy,petrol,5.46,2013,43459,2020,52.17,engine_fuel
b-2298403w,MINI CooperSE,business,electro,5.06,2015,81678,2015,38.91,break_bug
B17440481q,Smart ForTwo,economy,petrol,3.4,2017,128361,2017,38.41,engine_fuel
p-1820938A,VW Polo VI,economy,petrol,6.02,2015,82215,2016,56.75,engine_ignition
d-4762711Z,Smart ForFour,economy,petrol,5.44,2017,130700,2020,52.64,engine_ignition
d-1979148g,VW Tiguan,economy,petrol,6.1,2015,81149,2021,37.14,break_bug
J22534308x,Nissan Qashqai,standart,petrol,2.96,2015,75950,2020,70.48,engine_check
u-1504120V,VW Polo,economy,petrol,5.32,2011,3093,2020,32.35,break_bug
k74625649K,Hyundai Solaris,economy,petrol,2.4,2015,86653,2016,54.73,engine_ignition
y16050355z,Renault Kaptur,standart,petrol,4.28,2012,21143,2019,26.63,break_bug
d-2225751Z,Kia Rio,economy,petrol,4.86,2012,25560,2018,78.75,another_bug
o-2922285t,VW Polo VI,economy,petrol,5.1,2013,44777,2017,57.6,engine_ignition
Q21021305o,Renault Kaptur,standart,petrol,3.96,2014,56745,2014,61.38,engine_check
h-6813015B,Nissan Qashqai,standart,petrol,4.94,2015,87155,2018,34.93,engine_overheat
L-1496694j,Nissan Qashqai,standart,petrol,7.06,2014,61884,2020,52.73,engine_check
V-1623563U,VW Polo VI,economy,petrol,4.74,2012,19287,2020,75.78,another_bug
D-2134856N,Skoda Rapid,economy,petrol,4.9,2014,66736,2019,29.06,gear_stick
